item_a,item_b,semantic_sim,mid_affinity,reliability,rule,weak_threshold
1519,1862,0.03381210193037987,0.0009323220001533628,0.01520710440302074,semantic_near_mid_graph_weak,0.0016943709051702172
2343,2910,0.03352389112114906,0.0010058818152174354,0.013622066584858735,semantic_near_mid_graph_weak,0.0016943709051702172
154,1322,0.0316874161362648,0.0009667829726822674,0.013607045259168948,semantic_near_mid_graph_weak,0.0016943709051702172
621,647,0.03216633200645447,0.000983398756943643,0.013497260899260233,semantic_near_mid_graph_weak,0.0016943709051702172
2173,2193,0.032922323793172836,0.0010225350270047784,0.013054047522499902,semantic_near_mid_graph_weak,0.0016943709051702172
10,353,0.033104561269283295,0.001028386759571731,0.013011975645392415,semantic_near_mid_graph_weak,0.0016943709051702172
1370,2181,0.03213249146938324,0.0010150308953598142,0.012883181010388373,semantic_near_mid_graph_weak,0.0016943709051702172
2745,2857,0.03171946853399277,0.001017907285131514,0.012663736401949665,semantic_near_mid_graph_weak,0.0016943709051702172
2686,2745,0.03190804645419121,0.0010248004691675305,0.012609213550075967,semantic_near_mid_graph_weak,0.0016943709051702172
279,2487,0.03148834779858589,0.001019728253595531,0.01253762230437367,semantic_near_mid_graph_weak,0.0016943709051702172
982,2074,0.03211657330393791,0.0010339422151446342,0.012518337260459205,semantic_near_mid_graph_weak,0.0016943709051702172
2189,3605,0.03143036738038063,0.0010211613262072206,0.012487953095885273,semantic_near_mid_graph_weak,0.0016943709051702172
2173,2174,0.034320052713155746,0.0010816319845616817,0.01241123297769002,semantic_near_mid_graph_weak,0.0016943709051702172
156,353,0.03179093077778816,0.001042605028487742,0.012228871379761693,semantic_near_mid_graph_weak,0.0016943709051702172
154,647,0.03307027742266655,0.0010687686735764146,0.012210336763878702,semantic_near_mid_graph_weak,0.0016943709051702172
1475,2342,0.0325411818921566,0.0010726823238655925,0.011939818573831222,semantic_near_mid_graph_weak,0.0016943709051702172
3197,3533,0.03246904909610748,0.0010807053185999393,0.011759608240522908,semantic_near_mid_graph_weak,0.0016943709051702172
826,2541,0.0318351574242115,0.001068958081305027,0.011750742202970494,semantic_near_mid_graph_weak,0.0016943709051702172
646,674,0.03199834004044533,0.0010725074680522084,0.0117439444096351,semantic_near_mid_graph_weak,0.0016943709051702172
982,2193,0.03401078283786774,0.0011121791321784258,0.01168622401435051,semantic_near_mid_graph_weak,0.0016943709051702172
2451,2482,0.032611846923828125,0.0010882720816880465,0.011665687832456716,semantic_near_mid_graph_weak,0.0016943709051702172
622,647,0.03208961710333824,0.0010836079018190503,0.011567214037150208,semantic_near_mid_graph_weak,0.0016943709051702172
1709,1711,0.03243579715490341,0.0010925877140834928,0.0115200971981743,semantic_near_mid_graph_weak,0.0016943709051702172
943,3309,0.031352877616882324,0.0010747185442596674,0.011466134467582191,semantic_near_mid_graph_weak,0.0016943709051702172
355,357,0.03292638435959816,0.0011056585935875773,0.011440333276054553,semantic_near_mid_graph_weak,0.0016943709051702172
1476,2342,0.032568201422691345,0.0011004939442500472,0.011415153804001868,semantic_near_mid_graph_weak,0.0016943709051702172
357,358,0.03436931595206261,0.0011379122734069824,0.011287435632283689,semantic_near_mid_graph_weak,0.0016943709051702172
349,3322,0.03243560716509819,0.0011136091779917479,0.011117612549769527,semantic_near_mid_graph_weak,0.0016943709051702172
1209,2079,0.0319659449160099,0.0011052467161789536,0.011114397276605664,semantic_near_mid_graph_weak,0.0016943709051702172
3214,3533,0.03395262360572815,0.0011407483834773302,0.011093755824852477,semantic_near_mid_graph_weak,0.0016943709051702172
2164,2186,0.03157762810587883,0.0011014192132279277,0.011050713840618166,semantic_near_mid_graph_weak,0.0016943709051702172
2309,3166,0.03217221796512604,0.0011128318728879094,0.011042092640238836,semantic_near_mid_graph_weak,0.0016943709051702172
296,1709,0.03225700184702873,0.001114626182243228,0.011037032411969067,semantic_near_mid_graph_weak,0.0016943709051702172
1479,3122,0.031744334846735,0.001105312374420464,0.011036114458402703,semantic_near_mid_graph_weak,0.0016943709051702172
450,1373,0.0345013327896595,0.0011584169697016478,0.010913268771970077,semantic_near_mid_graph_weak,0.0016943709051702172
1983,2038,0.03236404433846474,0.001124551985412836,0.0108840660139117,semantic_near_mid_graph_weak,0.0016943709051702172
527,3421,0.032997868955135345,0.0011362795485183597,0.010868827713930579,semantic_near_mid_graph_weak,0.0016943709051702172
2234,2487,0.031955741345882416,0.0011238546576350927,0.010759904802558175,semantic_near_mid_graph_weak,0.0016943709051702172
585,3310,0.03197281435132027,0.0011288583045825362,0.01067123457842061,semantic_near_mid_graph_weak,0.0016943709051702172
614,647,0.03229745477437973,0.0011369697749614716,0.010624968676676231,semantic_near_mid_graph_weak,0.0016943709051702172
2951,3065,0.033371102064847946,0.0011562095023691654,0.010599237183213716,semantic_near_mid_graph_weak,0.0016943709051702172
2300,3207,0.03208151087164879,0.0011378232156857848,0.01053776991584503,semantic_near_mid_graph_weak,0.0016943709051702172
543,2179,0.03075942024588585,0.0011156682157889009,0.01050570401426717,semantic_near_mid_graph_weak,0.0016943709051702172
605,2079,0.03144093230366707,0.0011282593477517366,0.010504828133442175,semantic_near_mid_graph_weak,0.0016943709051702172
1676,1861,0.032159578055143356,0.0011418588692322373,0.010486814836075458,semantic_near_mid_graph_weak,0.0016943709051702172
2344,3262,0.03259504958987236,0.0011518647661432624,0.010436330351539728,semantic_near_mid_graph_weak,0.0016943709051702172
3496,3533,0.033969245851039886,0.0011750772828236222,0.01041095115156998,semantic_near_mid_graph_weak,0.0016943709051702172
1508,2552,0.03556225448846817,0.0011994558153674006,0.010387510975339078,semantic_near_mid_graph_weak,0.0016943709051702172
714,3387,0.031534548848867416,0.001137002371251583,0.010373387081922923,semantic_near_mid_graph_weak,0.0016943709051702172
1683,1868,0.031509969383478165,0.0011373456800356507,0.010358917127446753,semantic_near_mid_graph_weak,0.0016943709051702172
2360,3176,0.03362816199660301,0.0011726326774805784,0.010354933259908125,semantic_near_mid_graph_weak,0.0016943709051702172
2961,3065,0.031716763973236084,0.0011450909078121185,0.010281918780750307,semantic_near_mid_graph_weak,0.0016943709051702172
3309,3506,0.03149334341287613,0.0011434238404035568,0.010240476308975238,semantic_near_mid_graph_weak,0.0016943709051702172
631,2079,0.032681822776794434,0.0011647550854831934,0.010215478975696399,semantic_near_mid_graph_weak,0.0016943709051702172
69,466,0.03380017355084419,0.0011823236709460616,0.010214578950921923,semantic_near_mid_graph_weak,0.0016943709051702172
888,3248,0.03220326825976372,0.0011570226633921266,0.01021285807380753,semantic_near_mid_graph_weak,0.0016943709051702172
1363,2083,0.03150391951203346,0.001147980336099863,0.010159195048499327,semantic_near_mid_graph_weak,0.0016943709051702172
2960,3324,0.03223445639014244,0.0011622575111687183,0.01012315895015257,semantic_near_mid_graph_weak,0.0016943709051702172
2553,3310,0.03219469264149666,0.0011621726443991065,0.010112283784844446,semantic_near_mid_graph_weak,0.0016943709051702172
2820,3248,0.032319582998752594,0.0011642755707725883,0.010111398929855056,semantic_near_mid_graph_weak,0.0016943709051702172
1383,3128,0.03177132084965706,0.0011559100821614265,0.01009673355496154,semantic_near_mid_graph_weak,0.0016943709051702172
