anchor_item_id,anchor_title,anchor_brand,anchor_family,neighbor_item_id,neighbor_title,neighbor_brand,semantic_sim,context_affinity,direct_support,direct_zero,coarse_purified_affinity,coarse_purified_visible,coarse_seq2g_ctx_only_affinity,coarse_seq2g_ctx_only_visible,coarse_seq2g_rel_affinity,coarse_seq2g_rel_visible,coarse_seq2g_rel_masked_affinity,coarse_seq2g_rel_masked_visible,coarse_delta_ctx_only,coarse_delta_rel,coarse_delta_rel_masked
3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,3d_filament,3469,"3D Solutech Real Pink 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9935188293457031,0.3601640462875366,0.0,1,0.0,0,0.01852750964462757,1,0.03211783990263939,1,0.03874346241354942,1,0.01852750964462757,0.03211783990263939,0.03874346241354942
3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,3d_filament,3442,"3D Solutech Real Purple 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9921553134918213,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,3d_filament,3631,3D Solutech Skin 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG),3D Solutech,0.9878497123718262,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,3d_filament,1888,"3D Solutech Hot Pink 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9876596927642822,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,3d_filament,2993,"3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9865696430206299,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
3475,"3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,3d_filament,3599,"3D Solutech Aqua Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9864543080329895,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3D,3d_filament,3112,"3D Solutech Real Black 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175RBLK",3D Solutech,0.9936972856521606,0.32764407992362976,6.5,0,0.03579721972346306,1,0.042112115770578384,1,0.05256986990571022,1,0.023268193006515503,1,0.006314896047115326,0.016772650182247162,-0.012529026716947556
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3D,3d_filament,2909,"3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS",3D Solutech,0.9920425415039062,0.2703999876976013,5.600000381469727,0,0.02044319547712803,1,0.028839699923992157,1,0.028612788766622543,1,0.01328807882964611,1,0.008396504446864128,0.008169593289494514,-0.007155116647481918
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3D,3d_filament,2993,"3D Solutech Blue 3D Printer Ultra PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9898272156715393,0.0,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3D,3d_filament,3599,"3D Solutech Aqua Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9897357821464539,0.0,1.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
3522,"3D Solutech Real Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - ST176BLPLA",3D,3d_filament,1552,"3D Solutech Teal Blue 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)",3D Solutech,0.9896164536476135,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
