item_a,item_b,semantic_sim,graph_affinity,user_overlap,reliability,coarse_affinity,mid_affinity,local_affinity,rule
2638,2646,0.03817197307944298,0.0019756017718464136,0.0,0.038096560461792356,0.0,0.0,0.0,semantic_near_graph_weak
1824,3005,0.037523165345191956,0.001946279895491898,0.0,0.03745013476286539,0.0,0.003892559790983796,0.0,semantic_near_graph_weak
2631,3266,0.036978937685489655,0.0016322077717632055,0.0,0.03691858037600785,0.0,0.0,0.0,semantic_near_graph_weak
2631,3564,0.0366772897541523,0.0017017109785228968,0.0,0.03661487560751519,0.0,0.0,0.0,semantic_near_graph_weak
2847,3623,0.03641768917441368,0.0018688644049689174,0.0,0.036349629451404394,0.0,0.0037377288099378347,0.0,semantic_near_graph_weak
2631,2992,0.035991769284009933,0.001690224395133555,0.0,0.035930935117542084,0.0,0.0,0.0,semantic_near_graph_weak
1067,1150,0.035653162747621536,0.0011267431546002626,0.0,0.035612990790555805,0.0,0.0022534863092005253,0.0,semantic_near_graph_weak
2239,2469,0.03560398146510124,0.0011017018696293235,0.0,0.03556475649215489,0.0,0.002203403739258647,0.0,semantic_near_graph_weak
2446,2978,0.035178154706954956,0.0018921643495559692,0.0,0.03511159185673529,0.0,0.0037843286991119385,0.0,semantic_near_graph_weak
968,2208,0.03507563844323158,0.0010031993733718991,0.0,0.035040450584724714,0.0,0.0,0.0,semantic_near_graph_weak
1887,2867,0.03506414592266083,0.0015420002164319158,0.0,0.03501007700205908,0.0,0.0030840004328638315,0.0,semantic_near_graph_weak
3104,3553,0.034936584532260895,0.0017961999401450157,0.0,0.034873831441215176,0.0,0.0,0.0,semantic_near_graph_weak
2654,2847,0.03488277643918991,0.0017884550616145134,0.0,0.034820390161104074,0.0,0.0,0.0,semantic_near_graph_weak
558,1467,0.03486989066004753,0.0017950067995116115,0.0,0.03480729896921452,0.0,0.0,0.0,semantic_near_graph_weak
2230,2960,0.034862369298934937,0.0017217345302924514,0.0,0.034802345553905156,0.0,0.0,0.0,semantic_near_graph_weak
1965,2561,0.034840576350688934,0.001684880699031055,0.0,0.03478187413605254,0.0,0.0,0.0,semantic_near_graph_weak
968,1022,0.03478890657424927,0.0010211444459855556,0.0,0.03475338207551906,0.0,0.0,0.0,semantic_near_graph_weak
1491,2560,0.03478962182998657,0.0016803372418507934,0.0,0.03473116353279574,0.0,0.0,0.0,semantic_near_graph_weak
2879,2924,0.034778762608766556,0.0016776182455942035,0.0,0.0347204171220549,0.0,0.0,0.0,semantic_near_graph_weak
2638,2992,0.034767091274261475,0.0019723777659237385,0.0,0.03469851743644628,0.0,0.0,0.0,semantic_near_graph_weak
1868,2654,0.03470579534769058,0.0017841611988842487,0.0,0.03464387461425482,0.0,0.0035683223977684975,0.0,semantic_near_graph_weak
1868,3366,0.03469524160027504,0.0019366120686754584,0.0,0.03462805037666634,0.0,0.003873224137350917,0.0,semantic_near_graph_weak
2879,2960,0.03467753529548645,0.0017697440925985575,0.0,0.034616164932251385,0.0,0.0,0.0,semantic_near_graph_weak
138,2956,0.03464435413479805,0.000856707280036062,0.0,0.03461467406439862,0.0,0.001713414560072124,0.0,semantic_near_graph_weak
1817,3621,0.034654390066862106,0.0012066805502399802,0.0,0.034612573288387995,0.0,0.0024133611004799604,0.0,semantic_near_graph_weak
138,2957,0.03464435413479805,0.0010257510002702475,0.0,0.03460881765389057,0.0,0.002051502000540495,0.0,semantic_near_graph_weak
2536,3104,0.03465241566300392,0.001759855542331934,0.0,0.034591432417244196,0.0,0.003519711084663868,0.0,semantic_near_graph_weak
2923,3005,0.03458680212497711,0.001883738674223423,0.0,0.03452164962819658,0.0,0.003767477348446846,0.0,semantic_near_graph_weak
558,2575,0.034554168581962585,0.0016818743897601962,0.0,0.03449605281076513,0.0,0.0,0.0,semantic_near_graph_weak
2991,3366,0.034513287246227264,0.0018686149269342422,0.0,0.034448795202501395,0.0,0.0037372298538684845,0.0,semantic_near_graph_weak
2564,2880,0.036039113998413086,0.0018242038786411285,0.043478260869565216,0.03440931168483637,0.0,0.003648407757282257,0.0,semantic_near_graph_weak
2229,2230,0.03445225954055786,0.0017137345857918262,0.0,0.03439321751182453,0.0,0.0034274691715836525,0.0,semantic_near_graph_weak
1747,3366,0.03444331884384155,0.0019302595173940063,0.0,0.03437683429983259,0.0,0.0038605190347880125,0.0,semantic_near_graph_weak
1102,2221,0.03439916670322418,0.0009906068444252014,0.0,0.034365090653245445,0.0,0.001981213688850403,0.0,semantic_near_graph_weak
1647,2978,0.03442532569169998,0.0018643096555024385,0.0,0.03436114622461913,0.0,0.003728619311004877,0.0,semantic_near_graph_weak
2319,2783,0.03440062701702118,0.0017836459446698427,0.0,0.034339268478148166,0.0,0.0035672918893396854,0.0,semantic_near_graph_weak
2357,2644,0.034387584775686264,0.0019459460163488984,0.0,0.03432066839208016,0.0,0.0,0.0,semantic_near_graph_weak
853,1580,0.03436192125082016,0.0014979057013988495,0.0,0.03431045033306754,0.0,0.0,0.0,semantic_near_graph_weak
2978,3543,0.034367308020591736,0.0017596676480025053,0.0,0.03430683298051897,0.0,0.0,0.0,semantic_near_graph_weak
673,2957,0.03431224077939987,0.001166280242614448,0.0,0.03427222309089903,0.0,0.002332560485228896,0.0,semantic_near_graph_weak
3277,3621,0.034328337758779526,0.0016793855465948582,0.0,0.0342706872445088,0.0,0.0033587710931897163,0.0,semantic_near_graph_weak
2230,2924,0.03432402014732361,0.0016725853784009814,0.0,0.03426661029309726,0.0,0.0,0.0,semantic_near_graph_weak
2229,2879,0.034325238317251205,0.0017242215108126402,0.0,0.03426605400298083,0.0,0.0034484430216252804,0.0,semantic_near_graph_weak
2216,2755,0.03429996222257614,0.0013935136375948787,0.0,0.03425216475744999,0.0,0.0027870272751897573,0.0,semantic_near_graph_weak
