item_a,item_b,semantic_sim,graph_affinity,user_overlap,reliability,coarse_affinity,mid_affinity,local_affinity
2822,3030,0.04135558381676674,0.0,0.0,0.04135558381676674,0.0,0.0,0.0
1249,1250,0.04038656875491142,0.4999999701976776,1.0,0.0,0.41270509362220764,0.061572276055812836,0.9999999403953552
1248,1250,0.040271591395139694,0.2156435251235962,1.0,0.0,0.17355884611606598,0.06070989370346069,0.37700915336608887
1248,1249,0.040271591395139694,0.432430624961853,1.0,0.0,0.414944589138031,0.07025676965713501,0.6229907870292664
1726,3503,0.03976352885365486,0.01454219501465559,0.07407407407407407,0.036282666539439005,0.0,0.013165151700377464,0.0
1608,2528,0.03905431553721428,0.0,0.0,0.03905431553721428,0.0,0.0,0.0
1243,3379,0.03898397460579872,0.0023179773706942797,0.0,0.03889361063484276,0.0,0.0,0.0
1082,1608,0.038878899067640305,0.0,0.0,0.038878899067640305,0.0,0.0,0.0
1482,3436,0.03875274211168289,0.04900382459163666,0.025,0.035932366796427126,0.02869483083486557,0.0,0.0
2075,2076,0.0386991947889328,0.0,0.0,0.0386991947889328,0.0,0.0,0.0
1072,1608,0.03864118084311485,0.0,0.0,0.03864118084311485,0.0,0.0,0.0
429,2725,0.038615524768829346,0.0,0.0,0.038615524768829346,0.0,0.0,0.0
1500,2225,0.03851278871297836,0.004637223668396473,0.0,0.03833419629762259,0.0,0.0044786655344069,0.0
2225,3643,0.03839581832289696,0.0021475444082170725,0.0,0.0383133615979587,0.0,0.0,0.0
2987,3428,0.03837379813194275,0.006976040080189705,0.0,0.03810610097814521,0.0,0.01395208016037941,0.0
1500,3643,0.03835190832614899,0.0025147164706140757,0.0,0.03825546415060174,0.0,0.0,0.0
263,2670,0.03824523463845253,0.0,0.0,0.03824523463845253,0.0,0.0,0.0
3266,3564,0.038232866674661636,0.0,0.0,0.038232866674661636,0.0,0.0,0.0
2638,2646,0.03817197307944298,0.0019756017718464136,0.0,0.038096560461792356,0.0,0.0,0.0
2638,2639,0.03811771422624588,0.19248229265213013,0.2857142857142857,0.02198623514379954,0.0,0.0,0.38496458530426025
3605,3606,0.03809178248047829,0.5925064086914062,1.0,0.0,0.589357316493988,0.1929042935371399,0.6483013033866882
1046,2553,0.03806176036596298,0.0,0.0,0.03806176036596298,0.0,0.0,0.0
2639,2646,0.038036201149225235,0.0,0.0,0.038036201149225235,0.0,0.0,0.0
1389,1608,0.03802698105573654,0.0,0.0,0.03802698105573654,0.0,0.0,0.0
2852,3503,0.0380004346370697,0.013157724402844906,0.05555555555555555,0.03541707786920866,0.0,0.012870502658188343,0.0
635,3206,0.03797982633113861,0.0850876122713089,0.01694915254237288,0.034159260821360955,0.0,0.0,0.0
1822,2031,0.03796863928437233,0.0,0.0,0.03796863928437233,0.0,0.0,0.0
181,182,0.037946123629808426,0.13013604283332825,0.5913200723327305,0.01348969285480283,0.06562553346157074,0.0,0.2602720856666565
2426,3072,0.03793654218316078,0.0,0.0,0.03793654218316078,0.0,0.0,0.0
292,1854,0.03793427348136902,0.0,0.05263157894736842,0.035937732771823286,0.0,0.0,0.0
1726,2852,0.037907056510448456,0.059449732303619385,0.11764705882352941,0.031458963660427164,0.04075336083769798,0.013739178888499737,0.0
1305,1317,0.03782305493950844,0.0,0.0,0.03782305493950844,0.0,0.0,0.0
2938,3018,0.03778397664427757,0.0,0.041666666666666664,0.03620964428409934,0.0,0.0,0.0
7,8,0.03775772452354431,0.37279126048088074,0.9642857142857143,0.0008457848144829413,0.33526501059532166,0.0,0.644923746585846
2049,2082,0.037750475108623505,0.07010143995285034,0.043478260869565216,0.033577846686143685,0.033762335777282715,0.0,0.0
1714,1896,0.037729352712631226,0.047879721969366074,0.09090909090909091,0.03265716526787845,0.038437169045209885,0.007585822604596615,0.09575944393873215
70,1761,0.03770681098103523,0.0,0.0,0.03770681098103523,0.0,0.0,0.0
1880,1942,0.03770364075899124,0.0,0.0,0.03770364075899124,0.0,0.0,0.0
2018,3062,0.03769944980740547,0.0,0.0,0.03769944980740547,0.0,0.0,0.0
1305,1358,0.037690985947847366,0.0,0.0,0.037690985947847366,0.0,0.0,0.0
2848,3079,0.0376502126455307,0.12142760306596756,0.045454545454545456,0.03157487222501175,0.02643466554582119,0.0,0.0
787,937,0.037638891488313675,0.0,0.0,0.037638891488313675,0.0,0.0,0.0
2339,2907,0.03760339319705963,0.0,0.0,0.03760339319705963,0.0,0.0,0.0
231,2257,0.037596698850393295,0.0,0.0,0.037596698850393295,0.0,0.0,0.0
24,1896,0.03755413368344307,0.057914767414331436,0.06896551724137931,0.03293925029911839,0.023144306614995003,0.008360332809388638,0.11582953482866287
24,3425,0.037537749856710434,0.011868353001773357,0.0,0.03709223859051873,0.0,0.011529219336807728,0.0
1824,3005,0.037523165345191956,0.001946279895491898,0.0,0.03745013476286539,0.0,0.003892559790983796,0.0
24,1714,0.037522491067647934,0.06306427717208862,0.21875,0.027465751789664504,0.03097306191921234,0.007379839196801186,0.0
3343,3642,0.03751232102513313,0.026974370703101158,0.0,0.036500449771867456,0.0,0.015921205282211304,0.0
1896,3425,0.03750801086425781,0.009927965700626373,0.0,0.03713563261889874,0.0,0.011492462828755379,0.0
1225,2785,0.03747652471065521,0.0034341751597821712,0.03333333333333333,0.03610289630173829,0.0,0.0068683503195643425,0.0
395,2891,0.037463974207639694,0.007509639021009207,0.012738853503184714,0.03670896916676706,0.0,0.0,0.0
1382,1788,0.037422750145196915,0.08412215113639832,0.043478260869565216,0.03278446494930199,0.07032956928014755,0.0,0.026299530640244484
1715,2605,0.03739531338214874,0.03637336567044258,0.05263157894736842,0.03413853471234226,0.03411764279007912,0.014146543107926846,0.0
1317,1358,0.03739432618021965,0.2635137140750885,0.07692307692307693,0.025421915449047372,0.12543322145938873,0.0,0.2530378997325897
330,2648,0.037363845854997635,0.0,0.0,0.037363845854997635,0.0,0.0,0.0
56,836,0.03734036535024643,0.0,0.0,0.03734036535024643,0.0,0.0,0.0
302,993,0.037337932735681534,0.0,0.0,0.037337932735681534,0.0,0.0,0.0
