item_a,item_b,coarse_affinity,mid_affinity,reliability,rule,weak_threshold
181,3162,1.0,0.02263803407549858,0.5058722610258615,coarse_candidate_mid_graph_weak,0.04581413324922323
164,1850,0.5706929564476013,0.03198275342583656,0.4834331350118122,coarse_candidate_mid_graph_weak,0.20917223766446114
776,1532,0.7582318186759949,0.099336177110672,0.4681912624889911,coarse_candidate_mid_graph_weak,0.25968730449676514
119,531,1.0,0.023748917505145073,0.4660214331192589,coarse_candidate_mid_graph_weak,0.044475413393229246
105,2037,0.4177994132041931,0.0,0.4177994132041931,coarse_candidate_mid_graph_weak,0.01339693646878004
2417,2691,0.6557661294937134,0.11984094232320786,0.3759191351118297,coarse_candidate_mid_graph_weak,0.28082356601953506
1936,2342,0.37827950716018677,0.006497935391962528,0.32329945637371177,coarse_candidate_mid_graph_weak,0.04470777604728937
1067,2106,0.3207029104232788,0.0,0.3207029104232788,coarse_candidate_mid_graph_weak,0.050940629094839096
760,1113,0.6750905513763428,0.0033950903452932835,0.2934780362599592,coarse_candidate_mid_graph_weak,0.006006075069308281
575,576,0.2890913486480713,0.0,0.2890913486480713,coarse_candidate_mid_graph_weak,0.005144328810274601
126,1840,0.47040489315986633,0.10546539723873138,0.28268488664555963,coarse_candidate_mid_graph_weak,0.26428423821926117
760,1459,0.3361920118331909,0.0011800432112067938,0.27013870802868134,coarse_candidate_mid_graph_weak,0.006006075069308281
510,1018,0.2543717920780182,0.0,0.2543717920780182,coarse_candidate_mid_graph_weak,0.040119689889252186
2302,2808,0.24806199967861176,0.0,0.24806199967861176,coarse_candidate_mid_graph_weak,0.0035705011105164886
1108,1596,0.24293720722198486,0.0,0.24293720722198486,coarse_candidate_mid_graph_weak,0.022342640906572342
2034,2668,0.24043677747249603,0.0,0.24043677747249603,coarse_candidate_mid_graph_weak,0.12331197783350945
1951,3508,0.2399698793888092,0.0,0.2399698793888092,coarse_candidate_mid_graph_weak,0.0009723734110593796
2183,2184,0.2319449484348297,0.0,0.2319449484348297,coarse_candidate_mid_graph_weak,0.005032556888181716
2139,3388,0.23038607835769653,0.0,0.23038607835769653,coarse_candidate_mid_graph_weak,0.0456464784219861
253,2030,0.30163338780403137,0.031826626509428024,0.22610222771956623,coarse_candidate_mid_graph_weak,0.12709950655698776
2449,2942,0.24336466193199158,0.0017516474472358823,0.22520241126545526,coarse_candidate_mid_graph_weak,0.023471159860491753
419,802,0.2245362251996994,0.0,0.2245362251996994,coarse_candidate_mid_graph_weak,0.052207767963409424
699,868,0.22292837500572205,0.0,0.22292837500572205,coarse_candidate_mid_graph_weak,0.020098541863262653
1621,1622,0.22136344015598297,0.0,0.22136344015598297,coarse_candidate_mid_graph_weak,0.005682062357664108
1451,1789,0.2404838651418686,0.019117770716547966,0.21942384487813132,coarse_candidate_mid_graph_weak,0.21830536425113678
3486,3632,0.24810414016246796,0.0031613463070243597,0.2187007069700879,coarse_candidate_mid_graph_weak,0.026675221975892782
1929,3174,0.21723347902297974,0.0,0.21723347902297974,coarse_candidate_mid_graph_weak,0.0
3065,3081,0.21577885746955872,0.0,0.21577885746955872,coarse_candidate_mid_graph_weak,0.0008224077173508704
1144,2557,0.21532882750034332,0.0,0.21532882750034332,coarse_candidate_mid_graph_weak,0.009588207118213177
402,403,0.2148207277059555,0.0,0.2148207277059555,coarse_candidate_mid_graph_weak,0.0
1981,3270,0.21199722588062286,0.0,0.21199722588062286,coarse_candidate_mid_graph_weak,0.0
2385,2663,0.2118433564901352,0.0,0.2118433564901352,coarse_candidate_mid_graph_weak,0.005392305552959442
1174,1768,0.21057894825935364,0.0,0.21057894825935364,coarse_candidate_mid_graph_weak,0.04782848618924618
3274,3482,0.2065085917711258,0.0,0.2065085917711258,coarse_candidate_mid_graph_weak,0.0
2207,2233,0.23829951882362366,0.01803719997406006,0.20630265911230888,coarse_candidate_mid_graph_weak,0.13433368504047394
1405,3349,0.2309233546257019,0.010802187956869602,0.20492972068156626,coarse_candidate_mid_graph_weak,0.0959649384021759
508,1087,0.27541816234588623,0.07168173044919968,0.20455732193436407,coarse_candidate_mid_graph_weak,0.2786087542772293
1506,1858,0.2029193788766861,0.0,0.2029193788766861,coarse_candidate_mid_graph_weak,0.0
1029,1675,0.20528775453567505,0.0023817054461687803,0.19452354055902288,coarse_candidate_mid_graph_weak,0.04542226344347
1313,3052,0.2091062366962433,0.020586948841810226,0.1938906602778583,coarse_candidate_mid_graph_weak,0.28292450308799744
1491,1599,0.2337191104888916,0.0078209787607193,0.1932668907784012,coarse_candidate_mid_graph_weak,0.04518694430589676
1937,2129,0.19234520196914673,0.0,0.19234520196914673,coarse_candidate_mid_graph_weak,0.0
2374,2886,0.18929991126060486,0.0,0.18929991126060486,coarse_candidate_mid_graph_weak,0.0
460,1885,0.682064414024353,0.2933865487575531,0.18824374728352536,coarse_candidate_mid_graph_weak,0.40522509068250656
156,1533,0.5147185921669006,0.2247687429189682,0.18768307570448686,coarse_candidate_mid_graph_weak,0.3537617325782776
237,238,0.18538720905780792,0.0,0.18538720905780792,coarse_candidate_mid_graph_weak,0.0
886,3058,0.18500052392482758,0.0,0.18500052392482758,coarse_candidate_mid_graph_weak,0.002888724615331739
1732,3622,0.18133091926574707,0.0,0.18133091926574707,coarse_candidate_mid_graph_weak,0.018478540237993002
3239,3400,0.17975205183029175,0.0,0.17975205183029175,coarse_candidate_mid_graph_weak,0.06413396447896957
741,2517,0.22784820199012756,0.0011114744702354074,0.1794697795171643,coarse_candidate_mid_graph_weak,0.005234719254076481
2885,2899,0.17814421653747559,0.0,0.17814421653747559,coarse_candidate_mid_graph_weak,0.008344370871782303
2624,3364,0.17775559425354004,0.0,0.17775559425354004,coarse_candidate_mid_graph_weak,0.026205729693174362
