item_a,item_b,semantic_sim,mid_affinity
8953,9166,0.04647296667098999,0.0
2835,8435,0.04311557114124298,0.17827077209949493
9246,9300,0.0418909415602684,0.15891292691230774
8893,9300,0.04142552241683006,0.09909803420305252
1317,4028,0.0412297397851944,0.010699130594730377
8893,9246,0.041037216782569885,0.025548722594976425
4708,7202,0.04021774232387543,0.0
1123,1397,0.03986838459968567,0.0
3347,8774,0.039729043841362,0.0
2104,6669,0.03962347283959389,0.20197172462940216
4361,9542,0.039588410407304764,0.11502695083618164
4590,9193,0.03935065492987633,0.2097541093826294
2402,2403,0.03934379667043686,0.24172532558441162
7369,10066,0.0393359400331974,0.0
3379,6469,0.039302460849285126,0.0
1611,2383,0.03925590217113495,0.0
3153,3530,0.03911811485886574,0.0
5325,10945,0.039093974977731705,0.001763911102898419
1963,7892,0.039091579616069794,0.4147164523601532
4366,6264,0.03907690569758415,0.10251236706972122
372,1367,0.039036352187395096,0.0
8431,9187,0.039033740758895874,0.1421787589788437
1367,3530,0.0389980673789978,0.0
866,6456,0.03898623213171959,0.03904779255390167
1200,8554,0.038896240293979645,0.0056910146959125996
372,3530,0.03883356600999832,0.0
372,3153,0.038807548582553864,0.0
1367,3153,0.03880387544631958,0.0
6727,9489,0.038785405457019806,0.19708842039108276
589,9690,0.038707878440618515,0.0
2380,3960,0.0386970080435276,0.0
5806,8485,0.038693867623806,0.0
1733,1798,0.038692109286785126,0.04263688996434212
2708,5158,0.038670528680086136,0.0
4621,6050,0.038638487458229065,0.03796352073550224
1942,5962,0.03862898051738739,0.0
6673,8055,0.0386178120970726,0.10749416053295135
5617,7112,0.038611188530921936,0.0
5664,6673,0.03860550373792648,0.22970521450042725
5664,8055,0.03859645873308182,0.0
4997,9957,0.038575053215026855,0.0
3804,8614,0.03857336565852165,0.28246191143989563
3190,4532,0.038523100316524506,0.0
3815,7112,0.03850504755973816,0.0
1279,10699,0.03850402310490608,0.0
1279,9547,0.03846147283911705,0.0
425,2660,0.03843117877840996,0.0
1767,5556,0.03840762749314308,0.07044907659292221
6544,9283,0.03838776424527168,0.0
7536,8068,0.03838273882865906,0.0
1279,5754,0.0383627749979496,0.0036762533709406853
7837,8748,0.03834468498826027,0.0
3815,5617,0.03829633817076683,0.0
7397,10718,0.038289714604616165,0.004423678386956453
3878,8005,0.03828461468219757,0.12538401782512665
281,7073,0.03827681392431259,0.0
5165,8087,0.038271646946668625,0.0
7101,8087,0.03826679289340973,0.11323925107717514
3711,9585,0.03825009986758232,0.0
9547,10699,0.03824867308139801,0.0
1279,7709,0.03824223205447197,0.002414525020867586
3271,6616,0.038212213665246964,0.3753212094306946
5154,10133,0.03818575665354729,0.004125842824578285
4785,5323,0.03818384185433388,0.0053034937009215355
5754,10699,0.038183800876140594,0.10475145280361176
6697,8662,0.038183506578207016,0.0
1904,4084,0.03817156329751015,0.009459917433559895
5165,7101,0.038147442042827606,0.0
4771,4772,0.03813852369785309,0.1734342724084854
4772,9598,0.038137782365083694,0.1470053344964981
2035,4141,0.038113247603178024,0.0
5695,8965,0.038105398416519165,0.3012572228908539
3294,4495,0.0381038561463356,0.11306755989789963
4771,9598,0.038092318922281265,0.19169026613235474
7709,10699,0.038028791546821594,0.14914850890636444
3420,9713,0.03799593821167946,0.0
6534,8225,0.037988245487213135,0.0
3209,8528,0.03798338398337364,0.0
5695,8247,0.03797822445631027,0.0
7709,9547,0.037974175065755844,0.0
6983,9622,0.03794635832309723,0.10146355628967285
1908,9865,0.037943508476018906,0.14643462002277374
5835,8777,0.037938594818115234,0.0
5754,9547,0.03793516755104065,0.0
3405,6640,0.03792944550514221,0.0
7156,7157,0.03791821748018265,0.34683024883270264
6928,7640,0.037903476506471634,0.08405276387929916
1641,7005,0.037888914346694946,0.0
5754,7709,0.03788236528635025,0.13715942203998566
4925,6193,0.03788020834326744,0.0
3153,7230,0.037869542837142944,0.0
3184,5096,0.03786882013082504,0.16040398180484772
2452,6731,0.037857819348573685,0.0
5760,9240,0.037827253341674805,0.0
559,4747,0.037826716899871826,0.0
2309,6312,0.03782646358013153,0.0029982237610965967
2176,7883,0.037805501371622086,0.04259137064218521
684,4317,0.03777416795492172,0.006262226030230522
3924,6497,0.03775767609477043,0.0
6818,6819,0.03774568438529968,0.37037035822868347
1766,3295,0.037731949239969254,0.0
2011,5148,0.03772670775651932,0.0
2455,3420,0.03772294148802757,0.0
6497,10228,0.03771927207708359,0.0
5677,7793,0.03771783784031868,0.0
4762,7023,0.03771253302693367,0.08797585219144821
4900,7997,0.03770703449845314,0.0
658,1044,0.03769936040043831,0.0
6050,8279,0.037672996520996094,0.0
70,8429,0.03766542300581932,0.010052013210952282
8788,8789,0.03766476735472679,0.0
1426,2496,0.03764067590236664,0.0950799435377121
3245,8429,0.037625811994075775,0.061082836240530014
1896,6128,0.03762020170688629,0.0
4600,5677,0.03760327398777008,0.0
4600,7793,0.037601571530103683,0.03311661630868912
1976,4425,0.037597786635160446,0.0
5161,6019,0.03758443146944046,0.0019557771738618612
70,3245,0.037583671510219574,0.17414142191410065
75,2626,0.03758155554533005,0.0
3546,6192,0.03758099302649498,0.0
2080,2375,0.037579357624053955,0.1012127697467804
6762,6763,0.03757709264755249,0.16841557621955872
3530,7230,0.037561193108558655,0.0
9499,9585,0.037560828030109406,0.0
2403,5380,0.037552446126937866,0.0
2402,5380,0.037552446126937866,0.0
1613,1717,0.03754863515496254,0.0
1367,7230,0.037528347223997116,0.0
3027,4762,0.037512294948101044,0.0033617836888879538
1789,1790,0.037505488842725754,0.1524435579776764
2418,10000,0.03750542178750038,0.06488355994224548
2576,6379,0.0375036858022213,0.0
5161,5744,0.037467312067747116,0.047118887305259705
856,7948,0.037466518580913544,0.0
3817,9174,0.03746461868286133,0.07832471281290054
1577,2703,0.037464454770088196,0.0504705011844635
1376,9542,0.03745105490088463,0.07415879517793655
1571,8516,0.037448637187480927,0.0
4362,4363,0.03744451701641083,0.07217243313789368
1161,6412,0.03744298592209816,0.018402136862277985
848,8399,0.03743499517440796,0.2724117934703827
7842,9627,0.03742256015539169,0.0
3634,9621,0.037410665303468704,0.0
860,9790,0.03741048276424408,0.0
3711,9499,0.037407487630844116,0.0
3476,4494,0.037404295057058334,0.0
6573,6605,0.037403590977191925,0.0071542286314070225
9370,9371,0.03740262612700462,0.2735956907272339
4875,6041,0.03739704191684723,0.0
2111,3782,0.03739548847079277,0.015925351530313492
6254,10325,0.03738895058631897,0.0
1598,6845,0.03738328069448471,0.0
3444,6651,0.03737702965736389,0.0
5744,6019,0.03737371042370796,0.05046477168798447
5161,5399,0.0373726561665535,0.1338731050491333
4552,6009,0.037365272641181946,0.10180571675300598
9649,11119,0.03736165165901184,0.0
393,3866,0.0373508594930172,0.29034996032714844
4402,9095,0.037336017936468124,0.12497884035110474
3681,8488,0.03732684999704361,0.0
2811,6122,0.03731195256114006,0.0
1226,3905,0.03730979189276695,0.0
3171,4325,0.037299949675798416,0.0
129,268,0.03729961812496185,0.021247655153274536
3678,8656,0.03728998079895973,0.06668339669704437
2223,3526,0.037284404039382935,0.0
4715,7951,0.03728234022855759,0.05140151455998421
8266,8267,0.037278495728969574,0.2905854284763336
4541,4938,0.03727678582072258,0.0
8271,10235,0.037275828421115875,0.0
1376,4361,0.03727332875132561,0.007180494721978903
2573,2575,0.03727181628346443,0.23375725746154785
89,96,0.0372687391936779,0.009981798008084297
1397,1854,0.03726792708039284,0.005732022225856781
372,7230,0.03726734220981598,0.0
5486,5487,0.03726629540324211,0.22353076934814453
2699,6762,0.03726079687476158,0.06156144663691521
5971,8656,0.037255093455314636,0.0
2741,9991,0.037252482026815414,0.0801931619644165
2455,9713,0.037249937653541565,0.0
3343,5957,0.03724303096532822,0.0
2487,3046,0.037242915481328964,0.06670379638671875
2571,2575,0.03724188730120659,0.015297540463507175
2296,9627,0.0372297428548336,0.0
4503,9796,0.03722541034221649,0.0
2794,2795,0.03721662238240242,0.37037035822868347
368,6117,0.03721396252512932,0.0
3546,3804,0.03721194341778755,0.0
1532,4291,0.03721123933792114,0.029318232089281082
5542,5544,0.037209898233413696,0.0
4621,8279,0.0372089147567749,0.0
6902,7352,0.03720204159617424,0.0
51,3094,0.03720049187541008,0.0
4934,9941,0.037200383841991425,0.0059420159086585045
