item_a,item_b,semantic_sim,rank,family_a,family_b,brand_a,brand_b,same_family,same_brand,weight,rule
0,2358,0.9113986492156982,1,other,other,supco,supco,False,True,1.1392483115196228,same_brand_or_family_strong_semantic
0,1777,0.9064129590988159,2,other,other,supco,supco,False,True,1.13301619887352,same_brand_or_family_strong_semantic
0,949,0.8643532991409302,7,other,ventilation_fan,supco,supco,False,True,1.0804416239261627,same_brand_or_family_strong_semantic
1,1598,0.9594578146934509,1,fastener,fastener,stanley,stanley,True,True,1.1993222683668137,same_brand_or_family_strong_semantic
1,2,0.9445441961288452,2,fastener,fastener,stanley,stanley,True,True,1.1806802451610565,same_brand_or_family_strong_semantic
1,331,0.9352648258209229,3,fastener,fastener,stanley,stanley,True,True,1.1690810322761536,same_brand_or_family_strong_semantic
1,428,0.9316232204437256,4,fastener,fastener,stanley,arrow,True,False,0.9316232204437256,same_brand_or_family_strong_semantic
1,1886,0.9277651906013489,5,fastener,fastener,stanley,arrow,True,False,0.9277651906013489,same_brand_or_family_strong_semantic
1,2019,0.9237446188926697,6,fastener,fastener,stanley,arrow,True,False,0.9237446188926697,same_brand_or_family_strong_semantic
1,2022,0.9193696975708008,9,fastener,fastener,stanley,arrow,True,False,0.9193696975708008,same_brand_or_family_strong_semantic
1,612,0.9188864827156067,10,fastener,fastener,stanley,arrow,True,False,0.9188864827156067,same_brand_or_family_strong_semantic
1,3270,0.9176104664802551,11,fastener,other,stanley,stanley,False,True,1.147013083100319,same_brand_or_family_strong_semantic
1,546,0.9144632816314697,13,fastener,fastener,stanley,arrow,True,False,0.9144632816314697,same_brand_or_family_strong_semantic
1,659,0.8904997706413269,20,fastener,other,stanley,stanley,False,True,1.1131247133016586,same_brand_or_family_strong_semantic
1,658,0.8738958835601807,33,fastener,other,stanley,stanley,False,True,1.0923698544502258,same_brand_or_family_strong_semantic
1,2003,0.8684373497962952,36,fastener,other,stanley,stanley,False,True,1.085546687245369,same_brand_or_family_strong_semantic
1,986,0.8681657910346985,37,fastener,other,stanley,stanley,False,True,1.085207238793373,same_brand_or_family_strong_semantic
1,791,0.8678953051567078,39,fastener,other,stanley,stanley,False,True,1.0848691314458847,same_brand_or_family_strong_semantic
1,1413,0.8621288537979126,43,fastener,other,stanley,stanley,False,True,1.0776610672473907,same_brand_or_family_strong_semantic
2,1598,0.9627694487571716,1,fastener,fastener,stanley,stanley,True,True,1.2034618109464645,same_brand_or_family_strong_semantic
2,1,0.9445441961288452,2,fastener,fastener,stanley,stanley,True,True,1.1806802451610565,same_brand_or_family_strong_semantic
2,331,0.9299616813659668,3,fastener,fastener,stanley,stanley,True,True,1.1624521017074585,same_brand_or_family_strong_semantic
2,3270,0.9055401086807251,6,fastener,other,stanley,stanley,False,True,1.1319251358509064,same_brand_or_family_strong_semantic
2,986,0.9021305441856384,8,fastener,other,stanley,stanley,False,True,1.127663180232048,same_brand_or_family_strong_semantic
2,791,0.9017999768257141,9,fastener,other,stanley,stanley,False,True,1.1272499710321426,same_brand_or_family_strong_semantic
2,659,0.9011178612709045,10,fastener,other,stanley,stanley,False,True,1.1263973265886307,same_brand_or_family_strong_semantic
2,1413,0.8944757580757141,13,fastener,other,stanley,stanley,False,True,1.1180946975946426,same_brand_or_family_strong_semantic
2,2019,0.8940236568450928,14,fastener,fastener,stanley,arrow,True,False,0.8940236568450928,same_brand_or_family_strong_semantic
2,2003,0.8857797980308533,16,fastener,other,stanley,stanley,False,True,1.1072247475385666,same_brand_or_family_strong_semantic
2,823,0.8820002675056458,17,fastener,gauge_meter,stanley,stanley,False,True,1.1025003343820572,same_brand_or_family_strong_semantic
2,830,0.8756986260414124,24,fastener,other,stanley,stanley,False,True,1.0946232825517654,same_brand_or_family_strong_semantic
2,658,0.8705955743789673,33,fastener,other,stanley,stanley,False,True,1.088244467973709,same_brand_or_family_strong_semantic
2,918,0.863403856754303,43,fastener,other,stanley,stanley,False,True,1.0792548209428787,same_brand_or_family_strong_semantic
2,916,0.860014796257019,53,fastener,other,stanley,stanley,False,True,1.0750184953212738,same_brand_or_family_strong_semantic
3,387,0.9877718091011047,1,fastener,fastener,kreg,kreg,True,True,1.234714761376381,same_brand_or_family_strong_semantic
3,2491,0.9773359298706055,2,fastener,fastener,kreg,kreg,True,True,1.2216699123382568,same_brand_or_family_strong_semantic
3,908,0.9725100994110107,3,fastener,fastener,kreg,kreg,True,True,1.2156376242637634,same_brand_or_family_strong_semantic
3,15,0.9672424793243408,4,fastener,fastener,kreg,kreg,True,True,1.209053099155426,same_brand_or_family_strong_semantic
3,2521,0.9667990803718567,5,fastener,fastener,kreg,kreg,True,True,1.2084988504648209,same_brand_or_family_strong_semantic
3,910,0.9655265808105469,6,fastener,fastener,kreg,kreg,True,True,1.2069082260131836,same_brand_or_family_strong_semantic
3,1985,0.9634437561035156,7,fastener,fastener,kreg,kreg,True,True,1.2043046951293945,same_brand_or_family_strong_semantic
3,909,0.9619147777557373,8,fastener,fastener,kreg,kreg,True,True,1.2023934721946716,same_brand_or_family_strong_semantic
3,2508,0.9559181332588196,9,fastener,fastener,kreg,kreg,True,True,1.1948976665735245,same_brand_or_family_strong_semantic
3,359,0.938133180141449,10,fastener,fastener,kreg,kreg,True,True,1.1726664751768112,same_brand_or_family_strong_semantic
3,721,0.93357914686203,11,fastener,fastener,kreg,kreg,True,True,1.1669739335775375,same_brand_or_family_strong_semantic
3,1921,0.9260990619659424,12,fastener,fastener,kreg,rok,True,False,0.9260990619659424,same_brand_or_family_strong_semantic
3,3325,0.9216495156288147,13,fastener,fastener,kreg,rok,True,False,0.9216495156288147,same_brand_or_family_strong_semantic
3,611,0.9095789194107056,14,fastener,fastener,kreg,maxcraft,True,False,0.9095789194107056,same_brand_or_family_strong_semantic
3,1874,0.9081702828407288,15,fastener,fastener,kreg,fastenmaster,True,False,0.9081702828407288,same_brand_or_family_strong_semantic
3,1538,0.9079086780548096,16,fastener,fastener,kreg,fastenmaster,True,False,0.9079086780548096,same_brand_or_family_strong_semantic
4,482,0.9747525453567505,1,other,other,dico,dico,False,True,1.218440681695938,same_brand_or_family_strong_semantic
4,1968,0.958635151386261,2,other,other,dico,dico,False,True,1.1982939392328262,same_brand_or_family_strong_semantic
4,1962,0.957962691783905,3,other,other,dico,dico,False,True,1.1974533647298813,same_brand_or_family_strong_semantic
5,114,0.9322602152824402,1,adhesive_epoxy,adhesive_epoxy,hot,super,True,False,0.9322602152824402,same_brand_or_family_strong_semantic
5,1388,0.9260378479957581,2,adhesive_epoxy,adhesive_epoxy,hot,bob,True,False,0.9260378479957581,same_brand_or_family_strong_semantic
5,2370,0.9258981943130493,3,adhesive_epoxy,adhesive_epoxy,hot,,True,False,0.9258981943130493,same_brand_or_family_strong_semantic
5,3539,0.9257027506828308,4,adhesive_epoxy,adhesive_epoxy,hot,starbond,True,False,0.9257027506828308,same_brand_or_family_strong_semantic
5,2764,0.9254637956619263,5,adhesive_epoxy,adhesive_epoxy,hot,starbond,True,False,0.9254637956619263,same_brand_or_family_strong_semantic
5,1233,0.9231929779052734,6,adhesive_epoxy,adhesive_epoxy,hot,krazy,True,False,0.9231929779052734,same_brand_or_family_strong_semantic
