item_a,item_b,semantic_sim,mid_affinity
721,1303,0.04061800241470337,0.0
48,1117,0.03970067575573921,0.0
1104,2789,0.03926192224025726,0.0
359,364,0.03905215486884117,0.13397812843322754
998,1000,0.03862703964114189,0.13982193171977997
419,3346,0.0385185107588768,0.0
364,382,0.038492750376462936,0.0
906,1117,0.03842645511031151,0.1467721164226532
267,2012,0.03836166858673096,0.03679186478257179
364,377,0.03830591216683388,0.0
359,382,0.03820590674877167,0.0
48,906,0.03820474445819855,0.0
423,1743,0.03819414600729942,0.0
2377,2378,0.03805909305810928,0.0
999,2067,0.03805402293801308,0.0
359,377,0.03800434246659279,0.0
617,2344,0.03788786754012108,0.0042076874524354935
205,1282,0.03775051608681679,0.0
617,2183,0.0377129428088665,0.0
377,382,0.03766266256570816,0.001325849792920053
274,2952,0.03757084161043167,0.11200475692749023
617,2838,0.03756449744105339,0.0
142,2838,0.03751381114125252,0.0
185,2011,0.03748659789562225,0.0
2380,2978,0.037482768297195435,0.13454802334308624
743,2891,0.037426967173814774,0.0
554,1311,0.037424128502607346,0.07934191823005676
2916,2917,0.037421200424432755,0.4529939591884613
998,2585,0.03740492835640907,0.002965313382446766
1000,2585,0.03740492835640907,0.0
2329,2773,0.037377551198005676,0.0
1992,2329,0.037356480956077576,0.0
2865,2866,0.03734545782208443,0.2845267057418823
2604,2836,0.03733556717634201,0.0
1860,1861,0.0373292975127697,0.8520557284355164
1795,2296,0.03732048347592354,0.009870383888483047
142,617,0.037315189838409424,0.05389034003019333
1859,1860,0.03731365501880646,0.24383839964866638
1859,1861,0.037283755838871,0.21609482169151306
1795,2586,0.037272557616233826,0.16586348414421082
1460,2030,0.03726859763264656,0.0
2183,2838,0.03726554289460182,0.0
1836,3038,0.037224117666482925,0.0
1687,1688,0.03721534088253975,0.2708032429218292
1107,1390,0.037087101489305496,0.0
2841,2842,0.037027690559625626,0.22791127860546112
3229,3230,0.03697756677865982,0.30239731073379517
2305,3230,0.036963894963264465,0.0
2183,2344,0.036918219178915024,0.0
1287,2604,0.03689923509955406,0.10479545593261719
142,2183,0.03689582273364067,0.0
1838,1839,0.036888156086206436,0.3948838710784912
1901,3393,0.03687343746423721,0.0
1909,1910,0.0368594229221344,0.3391726613044739
85,1281,0.036824874579906464,0.0
1992,2773,0.03671988844871521,0.0
2305,3229,0.03667148947715759,0.0
1384,1724,0.036645907908678055,0.0
2611,3019,0.03658873960375786,0.0
2953,3291,0.03656861186027527,0.0
1620,3393,0.03655844181776047,0.0
1614,1616,0.03651230409741402,0.1597055196762085
1724,2336,0.036498453468084335,0.0
328,546,0.03647322207689285,0.0
2460,2461,0.03647318482398987,0.38705500960350037
2953,3379,0.036440037190914154,0.0
1112,2448,0.036433786153793335,0.0
1392,2916,0.03642387315630913,0.0
2377,2836,0.03641883656382561,0.0
518,1853,0.036392297595739365,0.0
287,288,0.036388762295246124,0.0
